zone,year,area
1,1993,0.31
1,1994,0.43
1,1995,0.43
1,1996,0.3
1,1997,0.33
1,1998,0.32
1,1999,0.28
1,2000,0.34
1,2001,0.49
1,2002,0.35
1,2003,0.38
1,2004,0.41
1,2005,0.41
1,2006,0.35
1,2007,0.35
1,2008,0.41
1,2009,0.38
1,2010,0.33
1,2011,0.34
1,2012,0.41
1,2013,0.47
1,2014,0.47
1,2015,0.4
1,2016,0.34
1,2017,0.36
1,2018,0.36
1,2019,0.34
2,1993,0.2
2,1994,0.18
2,1995,0.15
2,1996,0.26
2,1997,0.21
2,1998,0.21
2,1999,0.24
2,2000,0.26
2,2001,0.22
2,2002,0.22
2,2003,0.23
2,2004,0.22
2,2005,0.23
2,2006,0.25
2,2007,0.18
2,2008,0.2
2,2009,0.23
2,2010,0.26
2,2011,0.24
2,2012,0.21
2,2013,0.19
2,2014,0.17
2,2015,0.21
2,2016,0.24
2,2017,0.23
2,2018,0.25
2,2019,0.22
3,1993,0.38
3,1994,0.26
3,1995,0.28
3,1996,0.33
3,1997,0.34
3,1998,0.36
3,1999,0.38
3,2000,0.3
3,2001,0.13
3,2002,0.31
3,2003,0.27
3,2004,0.24
3,2005,0.23
3,2006,0.28
3,2007,0.29
3,2008,0.2
3,2009,0.2
3,2010,0.23
3,2011,0.25
3,2012,0.21
3,2013,0.16
3,2014,0.16
3,2015,0.21
3,2016,0.25
3,2017,0.25
3,2018,0.23
3,2019,0.28
4,1993,0.11
4,1994,0.13
4,1995,0.13
4,1996,0.12
4,1997,0.13
4,1998,0.11
4,1999,0.1
4,2000,0.1
4,2001,0.15
4,2002,0.12
4,2003,0.12
4,2004,0.13
4,2005,0.13
4,2006,0.13
4,2007,0.17
4,2008,0.19
4,2009,0.19
4,2010,0.19
4,2011,0.17
4,2012,0.17
4,2013,0.17
4,2014,0.2
4,2015,0.18
4,2016,0.17
4,2017,0.16
4,2018,0.16
4,2019,0.16
